nombre,codigo,hexadecimal,libro,cartilla
Negro Mate,720,020202,Color de Línea,Domestic-Ultra
Blanco,1400,FFFFFF,Color de Línea,Domestic-Gloss
Negro,1402,020202,Color de Línea,Domestic-Gloss
Rojo,1404,A31310,Color de Línea,Domestic-Gloss
Amarillo,1406,D59E04,Color de Línea,Domestic-Gloss
Azul,1408,19376A,Color de Línea,Domestic-Gloss
Verde Cromo,1414,071D12,Color de Línea,Domestic-Gloss
Turquesa,1418,1E8175,Color de Línea,Domestic-Gloss
Marfil,1420,CAB587,Color de Línea,Domestic-Gloss
Rosado,1421,C5696B,Color de Línea,Domestic-Gloss
Fucsia,1422,CC3546,Color de Línea,Domestic-Gloss
Celeste,1425,5195A0,Color de Línea,Domestic-Gloss
Menta ,1427,3E8863,Color de Línea,Domestic-Gloss
Verde Césped,1428,16612B,Color de Línea,Domestic-Gloss
Rojo Óxido,1430,540B0B,Color de Línea,Domestic-Gloss
Naranja,1432,CF4216,Color de Línea,Domestic-Gloss
Arrecife ,1436,146374,Color de Línea,Domestic-Gloss
Cielo,1438,7492B8,Color de Línea,Domestic-Gloss
Teja,1439,983625,Color de Línea,Domestic-Gloss
Beige,1440,C3AC8C,Color de Línea,Domestic-Gloss
Amarillo Suave,1441,E5D393,Color de Línea,Domestic-Gloss
Blanco Hueso,1442,D0C8B2,Color de Línea,Domestic-Gloss
Chocolate,1476,4C3134,Color de Línea,Domestic-Gloss
Melocotón,1477,CD9A71,Color de Línea,Domestic-Gloss
Blanco Hueso,2303,FFE9B4,Color de Línea,Domestic-Plus
Mandarina,2307,FF5506,Color de Línea,Domestic-Plus
Turquesa,2308,56DF9E,Color de Línea,Domestic-Plus
Verde Selva,2309,427D46,Color de Línea,Domestic-Plus
Amarillo Tulipan,2310,FFB507,Color de Línea,Domestic-Plus
Blanco Rústico,2311,F3EFBC,Color de Línea,Domestic-Plus
Teja,2312,C45336,Color de Línea,Domestic-Plus
Concreto,2313,755856,Color de Línea,Domestic-Plus
Verde Kiwi,2314,87BA3D,Color de Línea,Domestic-Plus
Rojo,2315,AF373A,Color de Línea,Domestic-Plus
Amarillo Mostaza,2316,F2A94B,Color de Línea,Domestic-Plus
Aqua,2317,0D9C84,Color de Línea,Domestic-Plus
Blanco Antiguo,2354,FEFACC,Color de Línea,Domestic-Plus
Amarillo Intenso,3600,DDBD1F,Color de Línea,Standard
Rojo Intenso,3601,9A1D23,Color de Línea,Standard
Verde Intenso,3603,2A4B44,Color de Línea,Standard
Menta Clara ,3616,B3FFB8,Color de Línea,Standard
Verde Verano,3617,BEC833,Color de Línea,Standard
Aqua Vivo,3618,45D1C5,Color de Línea,Standard
Aqua Intenso,3619,27828C,Color de Línea,Standard
Vainilla,3623,FFE79F,Color de Línea,Standard
Amarillo Amanecer,3624,FFC651,Color de Línea,Standard
Almendra,3625,9C8564,Color de Línea,Standard
Albaricoque,3626,FA9763,Color de Línea,Standard
Naranaja Otoño,3627,DE6012,Color de Línea,Standard
Amarillo Antiguo,3628,B25A00,Color de Línea,Standard
Café Quemado,3629,453133,Color de Línea,Standard
Rosa Suave,3630,FFA2B2,Color de Línea,Standard
Palo Rosa,3631,A54457,Color de Línea,Standard
Lavanda,3632,9365CF,Color de Línea,Standard
Gris Mineral,3633,878181,Color de Línea,Standard
Celeste Brisa,3634,A1BEE3,Color de Línea,Standard
Azul Nacional,3635,1948A1,Color de Línea,Standard
Óxido,3641,96473D,Color de Línea,Standard
Teja,3642,9F432A,Color de Línea,Standard
Blanco,3650,FFFFFF,Color de Línea,Standard
Blanco Hueso,3657,F3D2AC,Color de Línea,Standard
Blanco Antiguo,3668,FFF4C2,Color de Línea,Standard
Marfil,3669,E3C57B,Color de Línea,Standard
Melocotón,3692,D1A794,Color de Línea,Standard
Blanco,4210,FFFFFF,Color de Línea,Royal
Blanco Hueso,4211,D7CBB3,Color de Línea,Royal
Marfil,4212,D3D2BE,Color de Línea,Royal
Aqual,4216,94C2C5,Color de Línea,Royal
Menta,4217,A1C3B6,Color de Línea,Royal
Celeste,4219,A7B3B3,Color de Línea,Royal
Melón,4220,CAA86B,Color de Línea,Royal
Rosado,4225,BB997E,Color de Línea,Royal
Lilas,4227,D6A2B7,Color de Línea,Royal
Azul Celeste,4228,72A3C2,Color de Línea,Royal
Mandarina,4229,C7914B,Color de Línea,Royal
Verde Jardín,4230,4D9645,Color de Línea,Royal
Sorbete Naranja,4308,EB6234,Color de Línea,Domestic-Wall
Verde Manzana,4309,82A851,Color de Línea,Domestic-Wall
Oliva Verde,4314,867237,Color de Línea,Domestic-Wall
Blanco,4320,FFFFFF,Color de Línea,Domestic-Wall
Blanco Antiguo,4321,FAF3D3,Color de Línea,Domestic-Wall
Blanco Hueso,4322,D1C08E,Color de Línea,Domestic-Wall
Amarillo Azteca,4328,D2AB1F,Color de Línea,Domestic-Wall
Teja,4334,D0583D,Color de Línea,Domestic-Wall
Celeste París,4335,6B84A3,Color de Línea,Domestic-Wall
Rojo Ladrillo,4338,54211A,Color de Línea,Domestic-Wall
Verde Cazador,4348,1A433F,Color de Línea,Domestic-Wall
Arena Blanca,4357,BBB58B,Color de Línea,Domestic-Wall
Amarillo Tostado,4358,AA8338,Color de Línea,Domestic-Wall
Piel De Durazno,4359,E7B389,Color de Línea,Domestic-Wall
Melón Dulce,4360,FF793E,Color de Línea,Domestic-Wall
Azul Horizonte,4367,333D53,Color de Línea,Domestic-Wall
Jade,5306,16543c,Color de Línea,Domestic-Enamel
Vainilla,5308,F7B55D,Color de Línea,Domestic-Enamel
Rojo Alerta,5309,BC2723,Color de Línea,Domestic-Enamel
Verde Natural,5313,152A13,Color de Línea,Domestic-Enamel
Maple,5315,31272A,Color de Línea,Domestic-Enamel
Terracota,5318,350F0E,Color de Línea,Domestic-Enamel
Aluminio,5319,9D9D9D,Color de Línea,Domestic-Enamel
Melocotón,5330,FD9968,Color de Línea,Domestic-Enamel
Teja,5339,541C1F,Color de Línea,Domestic-Enamel
Blanco Hueso,5340,FFE17C,Color de Línea,Domestic-Enamel
Azul Imperio,5341,283E5C,Color de Línea,Domestic-Enamel
Arveja,5342,D2F67B,Color de Línea,Domestic-Enamel
Dorado,5343,986B1D,Color de Línea,Domestic-Enamel
Amarillo Caterpillar,5344,D89802,Color de Línea,Domestic-Enamel
Acero,5345,8B9298,Color de Línea,Domestic-Enamel
Naranja,5346,FF2D00,Color de Línea,Domestic-Enamel
Manzana,5347,689f3b,Color de Línea,Domestic-Enamel
Celeste Pastel,5348,64A3FF,Color de Línea,Domestic-Enamel
Rojo Profundo,5349,7F060B,Color de Línea,Domestic-Enamel
Aqua Marina,5350,26735D,Color de Línea,Domestic-Enamel
Blanco Brillante,5700,FCFFFA,Color de Línea,Domestic-Ultra
Blanco Mate,5701,FCFFFA,Color de Línea,Domestic-Ultra
Blanco Hueso,5702,E0CC92,Color de Línea,Domestic-Ultra
Champagne,5703,FCC174,Color de Línea,Domestic-Ultra
Amarillo Verano,5704,E3A532,Color de Línea,Domestic-Ultra
Amarillo Girasol,5705,FEA51A,Color de Línea,Domestic-Ultra
Rojo Fuego,5707,8C0011,Color de Línea,Domestic-Ultra
Tabaco,5711,29191C,Color de Línea,Domestic-Ultra
Pino Viejo,5714,0D231C,Color de Línea,Domestic-Ultra
Azul Laser,5716,82952,Color de Línea,Domestic-Ultra
Azul Media Noche ,5717,060A1C,Color de Línea,Domestic-Ultra
Gris Piedra,5718,3F413A,Color de Línea,Domestic-Ultra
Negro Brillante,5719,020202,Color de Línea,Domestic-Ultra
Bordeau Brow,154A,492D36,Color de Línea,Domestic-Wall
Verde Xelajú,1N1-4,7DF8b5,Color de Línea,Quetzaltenango
Celeste Santiago,1Q1-4,78BFCE,Color de Línea,Antigua-Guatemala
Amarillo Trigo,2H3-6,FF9B00,Color de Línea,Quetzaltenango
Rojo Tecomate,3D3-5,F56F72,Color de Línea,Quetzaltenango
Rojo Cochinilla,3D3-7,BA2F0F,Color de Línea,Quetzaltenango
Rojo Concepcion,3E2-6,CE3E2D,Color de Línea,Antigua-Guatemala
Rosa Güipil,3E3-4,F99677,Color de Línea,Quetzaltenango
Amarillo La Merced,3G2-6,EB8554,Color de Línea,Antigua-Guatemala
Amarillo Clásico,3I16,F4B34E,Color de Línea,Quetzaltenango
Amarillo Jocotenango,3I2-7,FCC854,Color de Línea,Antigua-Guatemala
Rojo Santo Domingo,4C2-8,361714,Color de Línea,Antigua-Guatemala
Rojo Hormigo,4E2-6,C2462E,Color de Línea,Quetzaltenango
Ocre,4F2-8,A44815,Color de Línea,Antigua-Guatemala
Amarillo Pensativo,4G3-6,ED914F,Color de Línea,Antigua-Guatemala
Amarllo Tridentino,4H1-8,7C380C,Color de Línea,Antigua-Guatemala
Celeste Colonial,4R2-5,9CB2D1,Color de Línea,Antigua-Guatemala
Celeste Culahá,5P2-3,95CDD7,Color de Línea,Quetzaltenango
Azul Añil,5R1-6,314769,Color de Línea,Quetzaltenango
Gris Cantera,6K1-6,786751,Color de Línea,Quetzaltenango
Celeste Luna,6M2-3,9BB6CC,Color de Línea,Quetzaltenango
Celeste Liberal,6N1-5,82AFC9,Color de Línea,Quetzaltenango
Altar,Altar,FFF8FD,Color de Línea,Centro-Historico
Atardecer,Atardecer,D5933C,Color de Línea,Centro-Historico
Blanco Jet,Blanco Jet,DADBD5,Color de Línea,Centro-Historico
Boulevard,Boulevard,D9C2A6,Color de Línea,Centro-Historico
Capricce,Capricce,82FFE5,Color de Línea,Centro-Historico
Catedral,Catedral,D9A300,Color de Línea,Centro-Historico
Celeste Cielo,Celeste Cielo,809EB5,Color de Línea,Centro-Historico
Celeste Deco,Celeste Deco,90AAFF,Color de Línea,Centro-Historico
Citron,Citron,FFFF61,Color de Línea,Centro-Historico
Corpus,Corpus,FFF8D8,Color de Línea,Centro-Historico
Dulce Zapote,Dulce Zapote,913328,Color de Línea,Centro-Historico
Ebony,Ebony,F0DEAB,Color de Línea,Centro-Historico
Melocoton,EN-57-01,FFB074,Color de Línea,Domestic-Ultra
Beige Claro ,EN-57-02,D7C07D,Color de Línea,Domestic-Ultra
Verde Limon,EN-57-03,589C57,Color de Línea,Domestic-Ultra
Beige Obscuro,EN-57-04,99825F,Color de Línea,Domestic-Ultra
Gris Granito,EN-57-05,635E5F,Color de Línea,Domestic-Ultra
Blanco Ostra,EN-57-06,9E9B95,Color de Línea,Domestic-Ultra
Verde Olivo,EN-57-07,457F47,Color de Línea,Domestic-Ultra
Blanco Vainilla,EN-57-08,CABE80,Color de Línea,Domestic-Ultra
Encaje,Encaje,FFC5C2,Color de Línea,Centro-Historico
Estación Central,Estación Central,856E3D,Color de Línea,Centro-Historico
Fatima,Fatima,F5B7BC,Color de Línea,Centro-Historico
Ferrocarril,Ferrocarril,A32829,Color de Línea,Centro-Historico
Flamingo,Flamingo,FF708C,Color de Línea,Centro-Historico
Frappé,Frappé,FFE5B6,Color de Línea,Centro-Historico
Gris Sexta ,Gris Sexta ,8C7C74,Color de Línea,Centro-Historico
Latte,Latte,F3AF57,Color de Línea,Centro-Historico
Melba,Melba,FF8A50,Color de Línea,Centro-Historico
Minerma,Minerma,F5D05E,Color de Línea,Centro-Historico
Mocca,Mocca,443529,Color de Línea,Centro-Historico
Moss,Moss,7F8C3E,Color de Línea,Centro-Historico
Noviembre,Noviembre,FF97A2,Color de Línea,Centro-Historico
Olvido,Olvido,986129,Color de Línea,Centro-Historico
Ovalle,Ovalle,FF8E48,Color de Línea,Centro-Historico
Pilastra,Pilastra,7E8287,Color de Línea,Centro-Historico
Pistaccio,Pistaccio,BDAD80,Color de Línea,Centro-Historico
Podium,Podium,004EC2,Color de Línea,Centro-Historico
Rafael,Rafael,F6F1E1,Color de Línea,Centro-Historico
Reforma,Reforma,FFEAB3,Color de Línea,Centro-Historico
Renacimiento,Renacimiento,F7F9FF,Color de Línea,Centro-Historico
Revolucion ,Revolucion ,BAA59E,Color de Línea,Centro-Historico
Romance,Romance,FFFDBA,Color de Línea,Centro-Historico
Rooseveth,Rooseveth,FEFFF4,Color de Línea,Centro-Historico
Shakespeare,Shakespeare,FAC2A7,Color de Línea,Centro-Historico
Sixtina,Sixtina,33527B,Color de Línea,Centro-Historico
Tamarindo,Tamarindo,EFCDBE,Color de Línea,Centro-Historico
Tiffany,Tiffany,F9F1FF,Color de Línea,Centro-Historico
Vainilla,Vainilla,F0B26C,Color de Línea,Centro-Historico
Verbena,Verbena,D12326,Color de Línea,Centro-Historico
Yerbabuena,Yerbabuena,82FFE5,Color de Línea,Centro-Historico
